
MODEL: _unknown

MODEL: account.account
message_is_follower | type=boolean | required=False | readonly=True | store=False | compute=_compute_message_is_follower | related=None | relation=None
message_follower_ids | type=one2many | required=False | readonly=False | store=True | compute=None | related=None | relation=mail.followers
message_partner_ids | type=many2many | required=False | readonly=False | store=False | compute=_compute_message_partner_ids | related=None | relation=res.partner
message_ids | type=one2many | required=False | readonly=False | store=True | compute=None | related=None | relation=mail.message
has_message | type=boolean | required=False | readonly=True | store=False | compute=_compute_has_message | related=None | relation=None
message_needaction | type=boolean | required=False | readonly=True | store=False | compute=_compute_message_needaction | related=None | relation=None
message_needaction_counter | type=integer | required=False | readonly=True | store=False | compute=_compute_message_needaction | related=None | relation=None
message_has_error | type=boolean | required=False | readonly=True | store=False | compute=_compute_message_has_error | related=None | relation=None
message_has_error_counter | type=integer | required=False | readonly=True | store=False | compute=_compute_message_has_error | related=None | relation=None
message_attachment_count | type=integer | required=False | readonly=True | store=False | compute=_compute_message_attachment_count | related=None | relation=None
rating_ids | type=one2many | required=False | readonly=False | store=True | compute=None | related=None | relation=rating.rating
website_message_ids | type=one2many | required=False | readonly=False | store=True | compute=None | related=None | relation=mail.message
message_has_sms_error | type=boolean | required=False | readonly=True | store=False | compute=_compute_message_has_sms_error | related=None | relation=None
name | type=char | required=True | readonly=False | store=True | compute=None | related=None | relation=None
currency_id | type=many2one | required=False | readonly=False | store=True | compute=None | related=None | relation=res.currency
company_currency_id | type=many2one | required=False | readonly=True | store=False | compute=_compute_company_currency_id | related=None | relation=res.currency
company_fiscal_country_code | type=char | required=False | readonly=True | store=False | compute=_compute_company_fiscal_country_code | related=None | relation=None
code | type=char | required=False | readonly=False | store=False | compute=_compute_code | related=None | relation=None
code_store | type=char | required=False | readonly=False | store=True | compute=None | related=None | relation=None
placeholder_code | type=char | required=False | readonly=True | store=False | compute=_compute_placeholder_code | related=None | relation=None
deprecated | type=boolean | required=False | readonly=False | store=True | compute=None | related=None | relation=None
used | type=boolean | required=False | readonly=True | store=False | compute=_compute_used | related=None | relation=None
account_type | type=selection | required=True | readonly=False | store=True | compute=_compute_account_type | related=None | relation=None
include_initial_balance | type=boolean | required=False | readonly=True | store=False | compute=_compute_include_initial_balance | related=None | relation=None
internal_group | type=selection | required=False | readonly=True | store=False | compute=_compute_internal_group | related=None | relation=None
reconcile | type=boolean | required=False | readonly=False | store=True | compute=_compute_reconcile | related=None | relation=None
tax_ids | type=many2many | required=False | readonly=False | store=True | compute=None | related=None | relation=account.tax
note | type=text | required=False | readonly=False | store=True | compute=None | related=None | relation=None
company_ids | type=many2many | required=True | readonly=False | store=True | compute=None | related=None | relation=res.company
code_mapping_ids | type=one2many | required=False | readonly=False | store=True | compute=None | related=None | relation=account.code.mapping
tag_ids | type=many2many | required=False | readonly=False | store=True | compute=_compute_account_tags | related=None | relation=account.account.tag
group_id | type=many2one | required=False | readonly=True | store=False | compute=_compute_account_group | related=None | relation=account.group
